solving # 100 problems
device: cuda:0, devices: [0], on_gpu: True
Times - pop: 0.57, expand: 15.41, check: 5.03, heur: 31.35, add: 3.38, itr: 55.75, num_itrs: 18
State: 0, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 55.79
Times - pop: 1.07, expand: 30.25, check: 8.17, heur: 52.22, add: 10.18, itr: 101.89, num_itrs: 27
State: 1, SolnCost: 16.00, # Moves: 16, # Nodes Gen: 2,774,352, Time: 102.20
Times - pop: 0.47, expand: 28.71, check: 4.28, heur: 27.65, add: 1.17, itr: 62.28, num_itrs: 16
State: 2, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 62.76
Times - pop: 0.58, expand: 34.90, check: 5.02, heur: 32.11, add: 1.39, itr: 74.01, num_itrs: 18
State: 3, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 74.26
Times - pop: 1.57, expand: 43.08, check: 11.17, heur: 70.79, add: 20.58, itr: 147.19, num_itrs: 35
State: 4, SolnCost: 12.00, # Moves: 12, # Nodes Gen: 3,734,352, Time: 147.54
Times - pop: 0.43, expand: 24.28, check: 3.88, heur: 25.28, add: 1.13, itr: 55.00, num_itrs: 15
State: 5, SolnCost: 14.00, # Moves: 14, # Nodes Gen: 1,334,352, Time: 55.64
Times - pop: 0.71, expand: 20.16, check: 5.76, heur: 36.62, add: 30.12, itr: 93.37, num_itrs: 20
State: 6, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,934,352, Time: 93.63
Times - pop: 2.48, expand: 79.90, check: 16.38, heur: 105.28, add: 4.67, itr: 208.71, num_itrs: 50
State: 7, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 5,534,352, Time: 209.16
Times - pop: 0.39, expand: 29.10, check: 3.58, heur: 23.10, add: 1.07, itr: 57.25, num_itrs: 14
State: 8, SolnCost: 13.00, # Moves: 13, # Nodes Gen: 1,214,352, Time: 58.23
Times - pop: 0.77, expand: 56.23, check: 6.03, heur: 38.88, add: 1.79, itr: 103.71, num_itrs: 21
State: 9, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 2,054,352, Time: 103.96
Times - pop: 0.61, expand: 39.81, check: 5.08, heur: 32.33, add: 1.54, itr: 79.37, num_itrs: 18
State: 10, SolnCost: 17.00, # Moves: 17, # Nodes Gen: 1,694,352, Time: 79.76
Times - pop: 0.49, expand: 29.48, check: 4.34, heur: 27.71, add: 1.32, itr: 63.34, num_itrs: 16
State: 11, SolnCost: 15.00, # Moves: 15, # Nodes Gen: 1,454,352, Time: 63.67
